"Region","member_state","country_code","suspected_cases_2020","confirmed_cases_2020","confirmed_cases_2019","incidence_rate_per_1mil_2019"
"AFRO","Algeria","DZA",77,24,2585,60.57
"AFRO","Angola","AGO",425,315,2980,93.75
"AFRO","Benin","BEN",55,27,483,40.93
"AFRO","Botswana","BWA",5,0,0,0
"AFRO","Burkina Faso","BFA",1027,962,691,34
"AFRO","Burundi","BDI",118,55,50,4.32
"AFRO","Cabo Verde","CPV",NA,NA,1,1.78
"AFRO","Cameroon","CMR",1349,1109,2839,112.16
"AFRO","Central African Republic","CAF",3563,3366,1431,296.54
"AFRO","Chad","TCD",396,315,1927,121.85
"AFRO","Comoros","COM",24,0,64,75.21
"AFRO","Congo","COG",79,32,70,12.63
"AFRO","Cote d'Ivoire","CIV",1168,417,392,15.35
"AFRO","Democratic Republic of the Congo","COD",8775,7701,17070,196.82
"AFRO","Equatorial Guinea","GNQ",29,26,47,34.56
"AFRO","Eritrea","ERI",NA,NA,5,0.94
"AFRO","Ethiopia","ETH",2430,1472,3610,32.78
"AFRO","Gabon","GAB",35,6,4,1.9
"AFRO","Gambia","GMB",37,12,2,0.9
"AFRO","Ghana","GHA",592,39,1420,47.18
"AFRO","Guinea","GIN",695,450,1208,90.16
"AFRO","Guinea-Bissau","GNB",NA,NA,NA,NA
"AFRO","Kenya","KEN",138,34,488,9.35
"AFRO","Kingdom of Eswatini","SWZ",36,1,0,0
"AFRO","Lesotho","LSO",85,0,10,4.36
"AFRO","Liberia","LBR",255,239,1044,209.73
"AFRO","Madagascar","MDG",174,56,213291,7908.56
"AFRO","Malawi","MWI",NA,NA,18,0.91
"AFRO","Mali","MLI",303,213,852,43.27
"AFRO","Mauritania","MRT",NA,NA,161,34.54
"AFRO","Mauritius","MUS",NA,NA,NA,NA
"AFRO","Mozambique","MOZ",276,97,917,29.2
"AFRO","Namibia","NAM",31,16,19,7.19
"AFRO","Niger","NER",477,317,2568,110.8
"AFRO","Nigeria","NGA",4577,2376,28302,140.83
"AFRO","Rwanda","RWA",90,22,67,5.24
"AFRO","Sao Tome and Principe","STP",NA,NA,0,0
"AFRO","Senegal","SEN",485,267,285,17.02
"AFRO","Seychelles","SYC",NA,NA,NA,NA
"AFRO","Sierra Leone","SLE",30,15,23,2.92
"AFRO","South Africa","ZAF",708,61,292,5.03
"AFRO","South Sudan","SSD",NA,NA,1471,110.91
"AFRO","Togo","TGO",136,78,151,18.45
"AFRO","Uganda","UGA",400,273,895,19.58
"AFRO","United Republic of Tanzania","TZA",453,416,504,8.27
"AFRO","Zambia","ZMB",61,12,124,6.84
"AFRO","Zimbabwe","ZWE",69,0,3,0.17
"AFRO",NA,"SEY",4,0,NA,NA
"AMRO","Antigua and Barbuda","ATG",NA,NA,0,0
"AMRO","Argentina","ARG",71,52,110,2.44
"AMRO","Bahamas","BHS",NA,NA,3,7.44
"AMRO","Barbados","BRB",4,0,0,0
"AMRO","Belize","BLZ",2,0,0,0
"AMRO","Bolivia (Plurinational State of)","BOL",16,2,0,0
"AMRO","Brazil","BRA",9162,2910,19326,90.99
"AMRO","Canada","CAN",1,1,113,3.03
"AMRO","Chile","CHL",36,2,11,0.6
"AMRO","Colombia","COL",NA,NA,230,4.61
"AMRO","Costa Rica","CRI",4,0,10,2
"AMRO","Cuba","CUB",481,0,1,0.09
"AMRO","Dominica","DMA",NA,NA,0,0
"AMRO","Dominican Republic","DOM",12,0,0,0
"AMRO","Ecuador","ECU",NA,NA,NA,NA
"AMRO","El Salvador","SLV",3,0,0,0
"AMRO","Grenada","GRD",NA,NA,0,0
"AMRO","Guatemala","GTM",31,0,0,0
"AMRO","Guyana","GUY",5,0,0,0
"AMRO","Haiti","HTI",63,0,0,0
"AMRO","Honduras","HND",63,0,0,0
"AMRO","Jamaica","JAM",28,0,0,0
"AMRO","Mexico","MEX",1633,0,20,0.15
"AMRO","Nicaragua","NIC",38,0,0,0
"AMRO","Panama","PAN",14,0,0,0
"AMRO","Paraguay","PRY",394,0,0,0
"AMRO","Peru","PER",41,0,2,0.06
"AMRO","Saint Kitts and Nevis","KNA",NA,NA,0,0
"AMRO","Saint Lucia","LCA",NA,NA,1,5.54
"AMRO","Saint Vincent and the Grenadines","VCT",NA,NA,NA,NA
"AMRO","Suriname","SUR",NA,NA,0,0
"AMRO","Trinidad and Tobago","TTO",NA,NA,0,0
"AMRO","United States of America","USA",NA,12,1282,3.9
"AMRO","Uruguay","URY",2,2,9,2.58
"AMRO","Venezuela (Bolivarian Republic of)","VEN",258,0,548,16.72
"EMRO","Afghanistan","AFG",30,8,212,5.7
"EMRO","Bahrain","BHR",55,0,0,0
"EMRO","Djibouti","DJI",NA,NA,NA,NA
"EMRO","Egypt","EGY",654,186,16,0.16
"EMRO","Iran (Islamic Republic of)","IRN",654,0,3,0.04
"EMRO","Iraq","IRQ",416,279,1222,30.24
"EMRO","Jordan","JOR",4,0,45,4.47
"EMRO","Kuwait","KWT",3,0,12,2.82
"EMRO","Lebanon","LBN",16,5,1046,172.44
"EMRO","Libya","LBY",96,12,160,24.35
"EMRO","Morocco","MAR",21,3,6,0.16
"EMRO","Oman","OMN",240,7,0,0
"EMRO","Pakistan","PAK",2082,1041,2079,10.16
"EMRO","Qatar","QAT",23,3,5,1.82
"EMRO","Saudi Arabia","SAU",151,11,1024,29.99
"EMRO","Somalia","SOM",60,56,290,18.55
"EMRO","Sudan","SDN",135,36,3555,83.62
"EMRO","Syrian Arab Republic","SYR",197,4,27,1.46
"EMRO","Tunisia","TUN",131,4,1753,148.77
"EMRO","United Arab Emirates","ARE",42,6,182,18.8
"EMRO","Yemen","YEM",NA,NA,9236,312.24
"EURO","Albania","ALB",12,3,482,164.03
"EURO","Andorra","AND",0,0,0,0
"EURO","Armenia","ARM",18,0,7,2.38
"EURO","Austria","AUT",15,14,151,17.23
"EURO","Azerbaijan","AZE",12,2,261,26.06
"EURO","Belarus","BLR",72,0,191,20.25
"EURO","Belgium","BEL",45,45,481,41.6
"EURO","Bosnia and Herzegovina","BIH",2,2,1404,400.94
"EURO","Bulgaria","BGR",220,220,1247,178.43
"EURO","Croatia","HRV",0,0,52,12.56
"EURO","Cyprus","CYP",2,1,6,5.01
"EURO","Czech Republic","CZE",3,3,577,54.28
"EURO","Denmark","DNK",4,4,15,2.6
"EURO","Estonia","EST",27,0,27,20.71
"EURO","Finland","FIN",4,4,12,2.16
"EURO","France","FRA",211,211,2637,40.27
"EURO","Georgia","GEO",36,11,3920,1004.05
